source_project,source_priority,repo_url,commit_sha,branch,module,file,file_stem,suffix,parameter_count,port_count,instance_count,clock_names,reset_names,handshakes
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_DP_data_fifo,vmod/nvdla/cdp/NV_NVDLA_CDP_DP_syncfifo.v,NV_NVDLA_CDP_DP_syncfifo,.v,0,10,4,nvdla_core_clk,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_DP_info_fifo,vmod/nvdla/cdp/NV_NVDLA_CDP_DP_syncfifo.v,NV_NVDLA_CDP_DP_syncfifo,.v,0,10,4,nvdla_core_clk,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_DP_intp,vmod/nvdla/cdp/NV_NVDLA_CDP_DP_intp.v,NV_NVDLA_CDP_DP_intp,.v,0,87,29,nvdla_core_clk;nvdla_op_gated_clk_fp16;nvdla_op_gated_clk_int,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_DP_intpinfo_fifo,vmod/nvdla/cdp/NV_NVDLA_CDP_DP_intp.v,NV_NVDLA_CDP_DP_intp,.v,0,10,4,nvdla_core_clk,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_DP_lut,vmod/nvdla/cdp/NV_NVDLA_CDP_DP_lut.v,NV_NVDLA_CDP_DP_lut,.v,0,85,24,nvdla_core_clk;nvdla_core_clk_orig;nvdla_op_gated_clk_fp16,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_DP_mul,vmod/nvdla/cdp/NV_NVDLA_CDP_DP_mul.v,NV_NVDLA_CDP_DP_mul,.v,0,25,6,nvdla_core_clk;nvdla_op_gated_clk_fp16;nvdla_op_gated_clk_int,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_DP_nan,vmod/nvdla/cdp/NV_NVDLA_CDP_DP_nan.v,NV_NVDLA_CDP_DP_nan,.v,0,14,2,nvdla_core_clk,,valid_ready
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_DP_sum,vmod/nvdla/cdp/NV_NVDLA_CDP_DP_sum.v,NV_NVDLA_CDP_DP_sum,.v,0,14,36,nvdla_core_clk;nvdla_op_gated_clk_int;nvdla_op_gated_clk_fp16,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_DP_sumpd_fifo,vmod/nvdla/cdp/NV_NVDLA_CDP_DP_syncfifo.v,NV_NVDLA_CDP_DP_syncfifo,.v,0,10,4,nvdla_core_clk,,
nvdla,B,https://github.com/nvdla/hw.git,8e06b1b9d85aab65b40d43d08eec5ea4681ff715,nvdlav1,NV_NVDLA_CDP_DP_syncfifo,vmod/nvdla/cdp/NV_NVDLA_CDP_DP_syncfifo.v,NV_NVDLA_CDP_DP_syncfifo,.v,0,18,7,nvdla_core_clk,,
